DTUTC,PHSPEC,TCSPEC,DIC,TA,SAL,QC
13-Feb-2014 17:30:00,7.8547,25,2047.32,2240.2,33.485,1
20-Feb-2014 18:30:00,7.9164,25,2016.86,2238.69,33.469,1
25-Feb-2014 18:15:00,7.949,25,2003.64,2246.41,33.502,1
04-Mar-2014 19:30:00,7.9143,25,2016.77,2239.85,33.452,1
14-Mar-2014 18:15:00,7.9582,25,1994.94,2236.04,33.404,1
20-Mar-2014 16:15:00,7.942,25,2006.2,2240,33.459,1
25-Mar-2014 17:30:00,7.9516,25,2004.36,2242.58,33.481,1
09-Apr-2014 18:00:00,NaN,25,2041.73,2242.46,33.456,4
16-Apr-2014 16:45:00,7.7442,25,2093.04,2237.89,33.52,1
22-Apr-2014 17:30:00,7.9664,25,1990.54,2241.69,33.544,1
13-May-2014 17:30:00,NaN,25,2004.43,2245.34,33.564,4
28-May-2014 17:15:00,NaN,25,1992.52,2245.32,33.618,4
06-Jun-2014 17:15:00,7.9609,25,1998.94,2245,33.554,1
12-Jun-2014 17:30:00,7.9782,25,1989.48,2244.32,33.563,1
17-Jun-2014 16:15:00,7.9789,25,1978.22,2233.53,33.477,1
24-Jun-2014 16:00:00,7.9782,25,1989.82,2247.39,33.63,1
02-Jul-2014 17:30:00,7.9904,25,1981.75,2244.42,33.62,1
08-Jul-2014 16:00:00,7.9872,25,1980.25,2239.02,33.502,1
08-Jul-2014 17:15:00,7.9639,25,1992.53,2240.28,33.563,1
17-Jul-2014 16:30:00,7.9855,25,1988.09,2247.05,33.619,1
28-Jul-2014 16:45:00,7.9624,25,1990,2235.05,33.476,1
06-Aug-2014 23:23:00,7.9951,25,1978.3,2240.03,33.429,1
15-Aug-2014 16:16:00,7.9579,25,1996.11,2242.95,33.498,1
03-Dec-2014 20:00:00,7.9329,25,2009.38,2239.31,33.46,1
10-Dec-2014 17:45:00,7.9175,25,2017.08,2239.83,33.439,1
17-Dec-2014 22:21:00,7.932,25,2006.45,2236.22,33.313,1
05-Jan-2015 17:15:00,7.9144,25,2017.29,2240.09,33.393,1
22-Jan-2015 17:00:00,7.9229,25,2011.19,2235.4,33.356,1
13-Feb-2015 17:11:00,7.9236,25,2007.92,2234.13,33.297,1
25-Feb-2015 17:27:00,7.9333,25,2003.9,2233.99,33.349,1
04-Mar-2015 17:00:00,7.938,25,2002.8,2232.46,33.328,1
09-Mar-2015 16:00:00,7.9209,25,2008.78,2229.93,33.302,1
20-Mar-2015 16:30:00,7.937,25,1999.51,2229.56,33.326,1
26-Mar-2015 16:00:00,7.9233,25,2008.76,2231.76,33.316,1
01-Apr-2015 15:33:00,7.9315,25,2002.79,2230.51,33.308,1
14-Apr-2015 18:15:00,7.9392,25,1999.85,2231.88,33.34,1
22-Apr-2015 16:30:00,7.8798,25,2028.19,2232.09,33.362,1
29-Apr-2015 16:00:00,7.9195,25,2014.04,2231.47,33.339,1
05-May-2015 16:15:00,7.9626,25,1990.74,2234.87,33.388,1
14-May-2015 14:45:00,7.9352,25,2003.04,2230.87,33.353,1
29-May-2015 16:15:00,7.9531,25,1988.05,2226.49,33.357,1
02-Jun-2015 18:00:00,7.9251,25,2005.2,2227.9,33.337,1
31-Jul-2015 16:15:00,7.9345,25,1998.25,2226.55,33.308,1
06-Aug-2015 16:15:00,7.9208,25,2004.55,2228.28,33.299,1
14-Aug-2015 16:00:00,7.9502,25,1994.49,2231.44,33.354,1
21-Aug-2015 16:00:00,7.9746,25,1981.76,2228.9,33.402,1
28-Aug-2015 17:00:00,7.9875,25,1977.47,2232.4,33.42,1
03-Sep-2015 16:15:00,7.9682,25,1994.86,2240.42,33.518,1
10-Sep-2015 16:45:00,7.9705,25,1992.86,2240.54,33.486,1
18-Sep-2015 16:00:00,7.9725,25,1995.21,2241.38,33.495,1
25-Sep-2015 16:15:00,7.954483492,25,1993.68109,2235.92,33.4286,1
07-Oct-2015 16:00:00,7.952123463,25,1992.817764,2233.22,33.3627,1
16-Oct-2015 16:00:00,7.948296417,25,1998.585066,2237.62,33.3955,1
22-Oct-2015 16:45:00,NaN,25,1996.095569,2242.41,33.4879,4
12-Nov-2015 18:30:00,7.93202154,25,2014.597802,2245.84,33.5011,1
18-Nov-2015 20:30:00,7.947300218,25,2006.170884,2245.6,33.5647,1
03-Dec-2015 17:30:00,7.927269516,25,2020.529008,2249.96,33.6527,1
17-Dec-2015 19:45:00,7.907575007,25,2032.656921,2252.95,33.6847,1
14-Jan-2016 19:45:00,7.874659163,25,2037.800821,2242.52,33.4486,1
22-Jan-2016 17:30:00,7.883051936,25,2039.200938,2246.34,33.5556,1
27-Jan-2016 17:45:00,7.875236579,25,2043.104868,2250.79,33.5896,1
24-Feb-2016 18:00:00,7.92162343,25,2018.013548,2245.36,33.6007,1
01-Mar-2016 17:45:00,7.920207513,25,2019.512877,2245.88,33.5755,1
18-Mar-2016 17:30:00,7.845106804,25,2053.278627,2245.84,33.4857,1
31-Mar-2016 19:15:00,7.944475163,25,2020.545624,2242.94,33.5476,1
21-Apr-2016 19:15:00,7.912401149,25,2003.706564,2240.41,33.5438,1
05-May-2016 21:45:00,7.962448054,25,2001.608398,2248.3,33.6355,1
19-May-2016 17:15:00,7.957615829,25,2001.396228,2244.94,33.5763,1
02-Jun-2016 19:00:00,7.942865951,25,2005.831127,2243.1,33.5487,1
09-Aug-2016 16:15:00,7.952166541,25,2001.731374,2244.06,33.5394,1
30-Aug-2016 16:30:00,7.961730311,25,1992.52,2240.24,33.46161356,4
14-Sep-2016 16:45:00,7.987739582,20,2011.2,2230.55,33.39607072,1
29-Sep-2016 16:00:00,7.968655098,20,2017.07,2230.34,33.30431074,1
12-Oct-2016 16:15:00,8.028168768,20,1992.1,2231.3,33.38296215,1
01-Nov-2016 17:00:00,7.978678479,20,2012.71,2226.24,33.34363645,1
15-Nov-2016 17:00:00,8.039401214,20,1989.8,2237.39,33.35674501,1
01-Dec-2016 17:15:00,7.935286782,20,2034.79,2232.45,33.25187646,1
14-Dec-2016 22:15:00,7.966228327,20,2032.98,2228.14,33.31741931,1
06-Jan-2017 17:30:00,7.978858133,20,2013.24,2228.19,33.2387679,1
18-Jan-2017 20:22:00,7.955519799,20,2026.92,2226.22,33.2387679,1
31-Jan-2017 20:00:00,7.925151087,20,2039.55,2227.8,33.19944219,1
15-Feb-2017 17:45:00,7.945486961,20,2027.98,2223.69,33.14700791,1
03-Mar-2017 22:00:00,7.937097184,20,2018.8,2212.83,32.91105368,1
07-Apr-2017 17:15:00,7.994677065,20,2011.83,2236.99,33.22565933,1
05-May-2017 17:15:00,8.001998086,20,2015.96,2240.41,33.4878307,1
23-May-2017 16:30:00,7.976774549,25,2028.76,2245.69,33.33052788,1
15-Jun-2017 19:00:00,8.094334315,25,1972.52,2240.33,33.55337354,1
03-Jul-2017 18:30:00,8.190226506,25,1904.715,2228.93,33.46161356,1
18-Jul-2017 18:15:00,NaN,NaN,1872.8,2231.97,33.50093927,1
04-Aug-2017 18:15:00,8.160645322,20,1929.8,2238.37,33.55337354,1
21-Aug-2017 16:30:00,8.104009447,20,1955.98,2227.69,32.88483654,1
08-Sep-2017 16:15:00,8.016,20,1994.34,2239.59,33.357,1
16-Oct-2017 22:45:00,8.036,20,1981.34,2227.11,33.41,1
02-Nov-2017 16:30:00,7.996,20,2005.83,2316.16,33.45,4
15-Nov-2017 23:45:00,8.001,20,1996.02,2231.82,33.37,4
14-Dec-2017 18:15:00,7.982,20,2017.34,2235.58,33.251,1
24-Jan-2018 18:30:00,7.953,20,2031.23,2236.64,33.397,4
21-Feb-2018 20:15:00,7.975,20,2018.57,2237.07,33.49,1
06-Mar-2018 23:30:00,7.949,20,2034.56,2239.43,33.41,1
02-Apr-2018 16:30:00,7.833,20,2080.07,2236.28,33.49,4
16-May-2018 18:45:00,7.957,20,2030.44,2243.53,33.41,1
06-Jun-2018 18:00:00,7.988,20,2015.68,2248.22,33.609,1
20-Jun-2018 22:30:00,8.209,20,1897.41,2244.97,33.636,1
06-Jul-2018 16:00:00,8.246261,20,1864.42,2236.93,33.70739923,1
16-Jul-2018 16:00:00,8.099395,20,1948.68,2230.19,33.64513353,1
09-Aug-2018 17:00:00,8.165897,20,1918.3,2239.28,33.75000207,1
17-Aug-2018 18:15:00,8.068895,20,1978.98,2246.28,33.69101352,1
29-Aug-2018 17:30:00,8.095964,20,1959.51,2239.95,33.75000207,1
21-Sep-2018 19:10:00,8.038118,20,1986.37,2293.33,33.66479638,1
09-Oct-2018 16:30:00,7.972998,20,2020.3,2230.72,33.46161356,1
07-Nov-2018 23:15:00,8.017704,20,2007.52,2245.52,33.65824209,1
14-Dec-2018 19:10:00,7.971948,20,2028.29,2242.91,33.54026498,1
25-Jan-2019 19:30:00,7.959147,20,2032.94,2241.29,33.54026498,1
30-Jan-2019 18:30:00,7.983244,20,2020.93,2235.95,33.52715641,1
12-Feb-2019 19:45:00,7.982781,20,2021.07,2241.76,33.52060212,1
15-Mar-2019 16:35:00,7.910888,20,2050.76,2237.36,33.45505928,1
28-Mar-2019 15:35:00,7.918779,20,2047.16,2238.6,33.50093927,1
31-May-2019 18:00:00,8.27003,20,1845.68,2240.44,33.56648211,1
28-Jun-2019 17:45:00,7.957741,20,2020.99,2230.62,33.57959068,1
23-Jul-2019 16:05:00,8.026371,20,1973.45,2214.34,33.72378494,1
09-Aug-2019 17:25:00,8.058328,20,1954.87,2216.37,33.59706877,1
22-Aug-2019 16:15:00,7.993337,20,2003.36,2232.46,33.53152593,1
17-Sep-2019 15:15:00,8.017935,20,2000.22,2241.04,33.56648211,1
04-Oct-2019 19:15:00,8.019898,20,2000.07,2241.16,33.60580782,1
30-Oct-2019 17:00:00,8.026976,20,1999.12,2243.06,33.55337354,1
15-Nov-2019 15:55:00,7.930196,20,2041.23,2236.36,33.50093927,1
18-Dec-2019 18:05:00,7.956809,20,2028.75,2239.46,33.46161356,1
17-Jan-2020 19:30:00,7.985043,20,2015.27,2235.43,33.41791833,1
14-Feb-2020 17:50:00,7.964939,20,2023.49,2232.58,33.41354881,1
05-Mar-2020 18:00:00,8.00152,20,2006.71,2239.6,33.43539643,1
01-May-2020 19:25:00,7.43664,20,2087.53,NaN,33.38296215,1
08-May-2020 18:40:00,7.962466,20,2037.43,2256.04,33.50093927,1
